state,year,quarter,registeredUsers,appOpens,brand,count,percentage
andaman-&-nicobar-islands,2018,1,6740,0,Xiaomi,1665,0.247
andaman-&-nicobar-islands,2018,1,6740,0,Samsung,1445,0.214
andaman-&-nicobar-islands,2018,1,6740,0,Vivo,982,0.146
andaman-&-nicobar-islands,2018,1,6740,0,Oppo,501,0.074
andaman-&-nicobar-islands,2018,1,6740,0,OnePlus,332,0.049
andaman-&-nicobar-islands,2018,1,6740,0,Realme,316,0.047
andaman-&-nicobar-islands,2018,1,6740,0,Apple,229,0.034
andaman-&-nicobar-islands,2018,1,6740,0,Motorola,226,0.034
andaman-&-nicobar-islands,2018,1,6740,0,Lenovo,202,0.03
andaman-&-nicobar-islands,2018,1,6740,0,Huawei,158,0.023
andaman-&-nicobar-islands,2018,1,6740,0,Others,684,0.101
andaman-&-nicobar-islands,2018,2,9405,0,Xiaomi,2303,0.245
andaman-&-nicobar-islands,2018,2,9405,0,Samsung,1923,0.204
andaman-&-nicobar-islands,2018,2,9405,0,Vivo,1523,0.162
andaman-&-nicobar-islands,2018,2,9405,0,Oppo,708,0.075
andaman-&-nicobar-islands,2018,2,9405,0,OnePlus,466,0.05
andaman-&-nicobar-islands,2018,2,9405,0,Realme,465,0.049
andaman-&-nicobar-islands,2018,2,9405,0,Motorola,319,0.034
andaman-&-nicobar-islands,2018,2,9405,0,Apple,308,0.033
andaman-&-nicobar-islands,2018,2,9405,0,Lenovo,244,0.026
andaman-&-nicobar-islands,2018,2,9405,0,Huawei,230,0.024
andaman-&-nicobar-islands,2018,2,9405,0,Others,916,0.097
andaman-&-nicobar-islands,2018,3,12149,0,Xiaomi,2950,0.243
andaman-&-nicobar-islands,2018,3,12149,0,Samsung,2409,0.198
andaman-&-nicobar-islands,2018,3,12149,0,Vivo,2063,0.17
andaman-&-nicobar-islands,2018,3,12149,0,Oppo,988,0.081
andaman-&-nicobar-islands,2018,3,12149,0,OnePlus,617,0.051
andaman-&-nicobar-islands,2018,3,12149,0,Realme,603,0.05
andaman-&-nicobar-islands,2018,3,12149,0,Motorola,390,0.032
andaman-&-nicobar-islands,2018,3,12149,0,Apple,371,0.031
andaman-&-nicobar-islands,2018,3,12149,0,Huawei,314,0.026
andaman-&-nicobar-islands,2018,3,12149,0,Lenovo,299,0.025
andaman-&-nicobar-islands,2018,3,12149,0,Others,1145,0.094
andaman-&-nicobar-islands,2018,4,15222,0,Xiaomi,3719,0.244
andaman-&-nicobar-islands,2018,4,15222,0,Samsung,2936,0.193
andaman-&-nicobar-islands,2018,4,15222,0,Vivo,2742,0.18
andaman-&-nicobar-islands,2018,4,15222,0,Oppo,1268,0.083
andaman-&-nicobar-islands,2018,4,15222,0,Realme,760,0.05
andaman-&-nicobar-islands,2018,4,15222,0,OnePlus,721,0.047
andaman-&-nicobar-islands,2018,4,15222,0,Motorola,474,0.031
andaman-&-nicobar-islands,2018,4,15222,0,Apple,455,0.03
andaman-&-nicobar-islands,2018,4,15222,0,Huawei,398,0.026
andaman-&-nicobar-islands,2018,4,15222,0,Lenovo,377,0.025
andaman-&-nicobar-islands,2018,4,15222,0,Others,1372,0.09
andaman-&-nicobar-islands,2019,1,18596,0,Xiaomi,4576,0.246
andaman-&-nicobar-islands,2019,1,18596,0,Samsung,3567,0.192
andaman-&-nicobar-islands,2019,1,18596,0,Vivo,3420,0.184
andaman-&-nicobar-islands,2019,1,18596,0,Oppo,1600,0.086
andaman-&-nicobar-islands,2019,1,18596,0,Realme,897,0.048
andaman-&-nicobar-islands,2019,1,18596,0,OnePlus,855,0.046
andaman-&-nicobar-islands,2019,1,18596,0,Motorola,561,0.03
andaman-&-nicobar-islands,2019,1,18596,0,Apple,515,0.028
andaman-&-nicobar-islands,2019,1,18596,0,Huawei,515,0.028
andaman-&-nicobar-islands,2019,1,18596,0,Lenovo,426,0.023
andaman-&-nicobar-islands,2019,1,18596,0,Others,1664,0.089
andaman-&-nicobar-islands,2019,2,21731,52640,Xiaomi,5296,0.244
andaman-&-nicobar-islands,2019,2,21731,52640,Samsung,4165,0.192
andaman-&-nicobar-islands,2019,2,21731,52640,Vivo,4102,0.189
andaman-&-nicobar-islands,2019,2,21731,52640,Oppo,1905,0.088
andaman-&-nicobar-islands,2019,2,21731,52640,Realme,1012,0.047
andaman-&-nicobar-islands,2019,2,21731,52640,OnePlus,950,0.044
andaman-&-nicobar-islands,2019,2,21731,52640,Huawei,644,0.03
andaman-&-nicobar-islands,2019,2,21731,52640,Motorola,630,0.029
andaman-&-nicobar-islands,2019,2,21731,52640,Apple,569,0.026
andaman-&-nicobar-islands,2019,2,21731,52640,Lenovo,477,0.022
andaman-&-nicobar-islands,2019,2,21731,52640,Others,1981,0.091
andaman-&-nicobar-islands,2019,3,23931,171107,Xiaomi,5819,0.243
andaman-&-nicobar-islands,2019,3,23931,171107,Vivo,4685,0.196
andaman-&-nicobar-islands,2019,3,23931,171107,Samsung,4508,0.188
andaman-&-nicobar-islands,2019,3,23931,171107,Oppo,2108,0.088
andaman-&-nicobar-islands,2019,3,23931,171107,Realme,1158,0.048
andaman-&-nicobar-islands,2019,3,23931,171107,OnePlus,1045,0.044
andaman-&-nicobar-islands,2019,3,23931,171107,Huawei,725,0.03
andaman-&-nicobar-islands,2019,3,23931,171107,Motorola,660,0.028
andaman-&-nicobar-islands,2019,3,23931,171107,Apple,630,0.026
andaman-&-nicobar-islands,2019,3,23931,171107,Lenovo,483,0.02
andaman-&-nicobar-islands,2019,3,23931,171107,Others,2110,0.088
andaman-&-nicobar-islands,2019,4,25960,177012,Xiaomi,6259,0.241
andaman-&-nicobar-islands,2019,4,25960,177012,Vivo,5190,0.2
andaman-&-nicobar-islands,2019,4,25960,177012,Samsung,4900,0.189
andaman-&-nicobar-islands,2019,4,25960,177012,Oppo,2329,0.09
