state,year,quarter,latitude,longitude,metric,label
odisha,2022,4,20.46032839034224,86.09882529240666,18.0,cuttack district
bihar,2022,4,26.455305326193702,84.65314370231029,1.0,gopalganj district
bihar,2023,2,25.32484536144277,85.40143868428044,8.0,nalanda district
bihar,2024,1,26.286477443742456,86.42379234230407,2.0,madhubani district
telangana,2022,4,17.119339200008397,80.49382665784493,2.0,khammam district
maharashtra,2022,4,21.31446436690128,79.07015482048465,7.0,nagpur district
karnataka,2023,3,15.34016844568734,76.91244646228988,1.0,ballari district
bihar,2023,1,25.020204785506387,85.12200309318553,2.0,gaya district
gujarat,2020,2,23.57027115304034,70.65142125460594,1.0,kachchh district
uttar-pradesh,2020,3,28.03788362089002,79.29584907512574,1.0,budaun district
maharashtra,2023,3,21.228357677881466,79.56596325253265,3.0,bhandara district
uttar-pradesh,2024,4,25.857579314545877,80.91524342357481,2.0,fatehpur district
chhattisgarh,2021,3,21.88467680929594,83.34153342076118,10.0,raigarh district
bihar,2020,4,25.22633301457973,85.27742074284158,4.0,nalanda district
karnataka,2023,2,15.153403977178924,76.47366015961944,1.0,ballari district
andhra-pradesh,2024,1,14.68435774509936,79.54348408275608,1.0,spsr nellore district
bihar,2023,2,26.379563561530347,84.49599847111095,10.0,gopalganj district
chhattisgarh,2024,3,21.166254363915584,81.38942969817089,128.0,durg district
karnataka,2022,2,14.895295183533738,74.09463109843134,11.0,uttara kannada district
bihar,2021,3,25.76961830901463,85.64862513228498,2.0,samastipur district
uttar-pradesh,2021,3,28.26269755024182,79.96962772271038,1.0,pilibhit district
maharashtra,2021,3,18.71121902999612,77.47593338307468,1.0,nanded district
tamil-nadu,2022,1,13.1535375560964,79.61090489942326,35.0,thiruvallur district
tamil-nadu,2023,3,8.53614531332747,77.76237388528826,2.0,tirunelveli district
karnataka,2024,1,15.419430009560047,74.6107627558346,4.0,belagavi district
maharashtra,2024,1,19.27427867792896,75.90567529309948,2.0,beed district
andhra-pradesh,2024,3,16.421486040679888,80.54940073446988,274.0,guntur district
maharashtra,2024,1,20.857378689016468,80.05908042022612,1.0,gondia district
haryana,2023,1,28.85966468979015,76.76250729867353,4.0,rohtak district
uttar-pradesh,2024,4,27.320398814435936,79.16049714761834,8.0,mainpuri district
assam,2022,3,27.12239903010059,94.74327629055313,13.0,sivasagar district
maharashtra,2022,2,19.998051397143996,75.81271993338781,1.0,jalna district
madhya-pradesh,2021,2,24.212122491817464,81.76229511046485,1.0,sidhi district
karnataka,2023,1,16.22322864558113,75.45195163058563,2.0,bagalkote district
maharashtra,2023,3,20.90437255827641,74.22380201337529,1.0,dhule district
telangana,2022,2,17.044580504913654,78.16214369136112,23.0,rangareddy district
andhra-pradesh,2024,4,16.850212121337307,80.23770779550036,4.0,ntr district
rajasthan,2021,3,25.80950338454581,75.05527386450814,1.0,ajmer district
telangana,2023,2,17.156605939030772,77.7394855756989,3.0,vikarabad district
karnataka,2020,4,16.36646463989469,77.131258617636,1.0,raichur district
tamil-nadu,2020,2,10.634831577455673,77.01614358689307,6.0,coimbatore district
andhra-pradesh,2024,1,17.202785399716053,82.45902819302455,17.0,east godavari district
uttarakhand,2020,4,30.520559804158207,78.41266003203229,1.0,uttarkashi district
rajasthan,2023,3,27.69315822379339,75.55678213448269,1.0,sikar district
madhya-pradesh,2023,4,24.897461023941897,79.88008318918982,3.0,chhatarpur district
gujarat,2023,1,21.17306610423196,73.76543669682675,2.0,tapi district
odisha,2022,3,20.108477442421503,86.34274583522229,2.0,jagatsinghapur district
assam,2020,4,26.48289527282837,90.63463095395798,1.0,bongaigaon district
punjab,2020,4,30.82974924168545,75.85920524130329,4.0,ludhiana district
andhra-pradesh,2023,3,18.908358406370432,83.68270944693259,3.0,vizianagaram district
bihar,2023,3,26.853000526699088,84.60080929045814,1.0,pashchim champaran district
haryana,2023,1,28.15011817907561,76.77404750161458,2.0,rewari district
