state,year,quarter,name,count,amount
andaman-&-nicobar-islands,2018,1,north and middle andaman district,442,931663.08
andaman-&-nicobar-islands,2018,1,south andaman district,5688,12560249.34
andaman-&-nicobar-islands,2018,1,nicobars district,528,1139848.8
andaman-&-nicobar-islands,2018,2,north and middle andaman district,825,1317863.08
andaman-&-nicobar-islands,2018,2,south andaman district,9395,23948235.52
andaman-&-nicobar-islands,2018,2,nicobars district,1120,3072436.91
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283,4901529.52
andaman-&-nicobar-islands,2018,3,south andaman district,13511,44268112.46
andaman-&-nicobar-islands,2018,3,nicobars district,1471,6387829.15
andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137,7955635.92
andaman-&-nicobar-islands,2018,4,south andaman district,20136,75411840.8
andaman-&-nicobar-islands,2018,4,nicobars district,1485,7180859.35
andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264,9561708.74
andaman-&-nicobar-islands,2019,1,south andaman district,25683,85501972.39
andaman-&-nicobar-islands,2019,1,nicobars district,1539,7236059.55
andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371,8612103.14
andaman-&-nicobar-islands,2019,2,south andaman district,28490,102530955.71
andaman-&-nicobar-islands,2019,2,nicobars district,1828,9111650.82
andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049,11481466.28
andaman-&-nicobar-islands,2019,3,south andaman district,27421,91023888.33
andaman-&-nicobar-islands,2019,3,nicobars district,2300,11566421.48
andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716,13524056.78
andaman-&-nicobar-islands,2019,4,south andaman district,27843,110930312.21
andaman-&-nicobar-islands,2019,4,nicobars district,2600,12384161.53
andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674,14697371.62
andaman-&-nicobar-islands,2020,1,south andaman district,32713,134679396.91
andaman-&-nicobar-islands,2020,1,nicobars district,2911,12099543.77
andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979,22447714.06
andaman-&-nicobar-islands,2020,2,south andaman district,48088,132855778.75
andaman-&-nicobar-islands,2020,2,nicobars district,3895,14341508.6
andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747,33486883.37
andaman-&-nicobar-islands,2020,3,south andaman district,95323,282366109.21
andaman-&-nicobar-islands,2020,3,nicobars district,5413,22166453.75
andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349,68941322.39
andaman-&-nicobar-islands,2020,4,south andaman district,186494,523122462.88
andaman-&-nicobar-islands,2020,4,nicobars district,8688,35218871.04
andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358,75027255.28
andaman-&-nicobar-islands,2021,1,south andaman district,207092,669604045.12
andaman-&-nicobar-islands,2021,1,nicobars district,10302,39075266.99
andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200,90233388.79
andaman-&-nicobar-islands,2021,2,south andaman district,286907,760893020.57
andaman-&-nicobar-islands,2021,2,nicobars district,15307,48020606.75
andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592,118254865.83
andaman-&-nicobar-islands,2021,3,south andaman district,382418,1116789010.65
andaman-&-nicobar-islands,2021,3,nicobars district,20754,74980519.33
andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.29
andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708.01
andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.03
andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,161624878.52
andaman-&-nicobar-islands,2022,1,south andaman district,705512,1872991195.9
andaman-&-nicobar-islands,2022,1,nicobars district,29177,94414127.65
andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,195693167.79
andaman-&-nicobar-islands,2022,2,south andaman district,954875,2357326563.36
andaman-&-nicobar-islands,2022,2,nicobars district,43769,132900618.93
andaman-&-nicobar-islands,2022,3,north and middle andaman district,79574,211581970.34
andaman-&-nicobar-islands,2022,3,south andaman district,1455255,2967719400.85
andaman-&-nicobar-islands,2022,3,nicobars district,49550,131330400.95
andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,241431284.36
andaman-&-nicobar-islands,2022,4,south andaman district,1835592,3600887266.1
andaman-&-nicobar-islands,2022,4,nicobars district,58646,142355853.97
andaman-&-nicobar-islands,2023,1,north and middle andaman district,152187,392080332.0
andaman-&-nicobar-islands,2023,1,south andaman district,2030078,3867385426.0
andaman-&-nicobar-islands,2023,1,nicobars district,94127,202062829.0
andaman-&-nicobar-islands,2023,2,north and middle andaman district,181149,462414675.0
andaman-&-nicobar-islands,2023,2,south andaman district,2417058,4297737197.0
andaman-&-nicobar-islands,2023,2,nicobars district,109568,230192364.0
andaman-&-nicobar-islands,2023,3,north and middle andaman district,198547,495623030.0
andaman-&-nicobar-islands,2023,3,south andaman district,2771397,4462201588.0
andaman-&-nicobar-islands,2023,3,nicobars district,128432,253772173.0
andaman-&-nicobar-islands,2023,4,north and middle andaman district,230234,540759631.0
andaman-&-nicobar-islands,2023,4,south andaman district,3311962,5417264997.0
andaman-&-nicobar-islands,2023,4,nicobars district,153587,311527871.0
andaman-&-nicobar-islands,2024,1,north and middle andaman district,266400,601756070.0
andaman-&-nicobar-islands,2024,1,south andaman district,3751724,5952049462.0
andaman-&-nicobar-islands,2024,1,nicobars district,166796,305346303.0
andaman-&-nicobar-islands,2024,2,north and middle andaman district,313301,676844858.0
andaman-&-nicobar-islands,2024,2,south andaman district,4153251,6285248054.0
andaman-&-nicobar-islands,2024,2,nicobars district,186672,333687418.0
andaman-&-nicobar-islands,2024,3,north and middle andaman district,364075,724234808.0
andaman-&-nicobar-islands,2024,3,south andaman district,4704639,6567147442.0
andaman-&-nicobar-islands,2024,3,nicobar district,210536,372462759.0
andaman-&-nicobar-islands,2024,4,north and middle andaman district,411230,759100984.0
andaman-&-nicobar-islands,2024,4,south andaman district,5419850,7760167334.0
andaman-&-nicobar-islands,2024,4,nicobar district,232820,401676455.0
andhra-pradesh,2018,1,east godavari district,943935,1235785515.6
andhra-pradesh,2018,1,srikakulam district,458921,587778028.92
andhra-pradesh,2018,1,spsr nellore district,531612,676643237.81
andhra-pradesh,2018,1,vizianagaram district,420990,505783445.78
andhra-pradesh,2018,1,visakhapatnam district,1256469,1749966196.5
andhra-pradesh,2018,1,prakasam district,534757,748990775.87
andhra-pradesh,2018,1,anantapur district,638664,788830646.03
andhra-pradesh,2018,1,ysr district,487333,681481931.09
andhra-pradesh,2018,1,west godavari district,577090,853547668.75
andhra-pradesh,2018,1,kurnool district,679623,764905298.74
andhra-pradesh,2018,1,chittoor district,830324,1009621878.09
andhra-pradesh,2018,1,guntur district,815932,1108686589.03
andhra-pradesh,2018,1,krishna district,863935,1284255179.62
andhra-pradesh,2018,2,east godavari district,1221677,2168914928.42
andhra-pradesh,2018,2,srikakulam district,559868,929392017.37
andhra-pradesh,2018,2,spsr nellore district,780454,1542057934.01
andhra-pradesh,2018,2,vizianagaram district,529588,811711367.51
andhra-pradesh,2018,2,visakhapatnam district,1641192,2987853607.29
andhra-pradesh,2018,2,prakasam district,739991,1571167562.13
andhra-pradesh,2018,2,anantapur district,937023,1690366079.06
andhra-pradesh,2018,2,ysr district,690842,1415500367.69
andhra-pradesh,2018,2,west godavari district,786033,1688025212.3
andhra-pradesh,2018,2,kurnool district,968439,1531888665.68
andhra-pradesh,2018,2,chittoor district,1185723,1990419125.89
andhra-pradesh,2018,2,guntur district,1088101,2108475811.79
andhra-pradesh,2018,2,krishna district,1224987,2448141593.49
andhra-pradesh,2018,3,east godavari district,3226907,3551247095.31
andhra-pradesh,2018,3,srikakulam district,1073883,1318322236.6
andhra-pradesh,2018,3,spsr nellore district,1308890,2215938596.19
andhra-pradesh,2018,3,vizianagaram district,970132,1163546006.9
andhra-pradesh,2018,3,visakhapatnam district,3394576,4821892253.39
andhra-pradesh,2018,3,prakasam district,1319651,2346453445.48
andhra-pradesh,2018,3,anantapur district,1815215,2681787750.46
andhra-pradesh,2018,3,ysr district,1557444,2235904512.25
andhra-pradesh,2018,3,west godavari district,1431282,2309078492.81
andhra-pradesh,2018,3,kurnool district,2921189,2908389261.54
andhra-pradesh,2018,3,chittoor district,2297429,3283517630.72
andhra-pradesh,2018,3,guntur district,1912529,3127764663.18
andhra-pradesh,2018,3,krishna district,2396934,3754202654.38
andhra-pradesh,2018,4,east godavari district,3052762,4652624623.44
andhra-pradesh,2018,4,srikakulam district,1252807,1870278609.5
andhra-pradesh,2018,4,spsr nellore district,1814997,3293448556.97
andhra-pradesh,2018,4,vizianagaram district,1386787,1817673252.54
andhra-pradesh,2018,4,visakhapatnam district,4791421,7366635864.85
andhra-pradesh,2018,4,prakasam district,1692862,3255254226.04
andhra-pradesh,2018,4,anantapur district,2286391,3975878156.33
andhra-pradesh,2018,4,ysr district,1732527,3252340063.25
andhra-pradesh,2018,4,west godavari district,1688482,3237504255.46
andhra-pradesh,2018,4,kurnool district,2508530,3626544852.41
andhra-pradesh,2018,4,chittoor district,3166201,4979093890.22
andhra-pradesh,2018,4,guntur district,2546620,4730251217.7
andhra-pradesh,2018,4,krishna district,2839161,5416251838.13
andhra-pradesh,2019,1,east godavari district,5440146,7382264724.6
andhra-pradesh,2019,1,srikakulam district,2526855,3407912878.42
andhra-pradesh,2019,1,spsr nellore district,3333584,5161932216.22
andhra-pradesh,2019,1,vizianagaram district,2798241,3364576948.3
andhra-pradesh,2019,1,visakhapatnam district,9690866,13459857440.55
andhra-pradesh,2019,1,prakasam district,2931081,4807527779.22
andhra-pradesh,2019,1,anantapur district,3891336,6044730653.19
andhra-pradesh,2019,1,ysr district,2852197,4915811593.9
andhra-pradesh,2019,1,west godavari district,2829437,4623764455.47
andhra-pradesh,2019,1,kurnool district,4193432,5541564892.51
andhra-pradesh,2019,1,chittoor district,6486813,8223371732.23
