state,year,quarter,districtName,count,amount
andaman-&-nicobar-islands,2018,1,south andaman,5688,12560249.34
andaman-&-nicobar-islands,2018,1,nicobars,528,1139848.8
andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.08
andaman-&-nicobar-islands,2018,2,south andaman,9395,23948235.52
andaman-&-nicobar-islands,2018,2,nicobars,1120,3072436.91
andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.08
andaman-&-nicobar-islands,2018,3,south andaman,13511,44268112.46
andaman-&-nicobar-islands,2018,3,nicobars,1471,6387829.15
andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.52
andaman-&-nicobar-islands,2018,4,south andaman,20136,75411840.8
andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,7955635.92
andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.35
andaman-&-nicobar-islands,2019,1,south andaman,25683,85501972.39
andaman-&-nicobar-islands,2019,1,north and middle andaman,3264,9561708.74
andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.55
andaman-&-nicobar-islands,2019,2,south andaman,28490,102530955.71
andaman-&-nicobar-islands,2019,2,north and middle andaman,3371,8612103.14
andaman-&-nicobar-islands,2019,2,nicobars,1828,9111650.82
andaman-&-nicobar-islands,2019,3,south andaman,27421,91023888.33
andaman-&-nicobar-islands,2019,3,north and middle andaman,4049,11481466.28
andaman-&-nicobar-islands,2019,3,nicobars,2300,11566421.48
andaman-&-nicobar-islands,2019,4,south andaman,27843,110930312.21
andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,13524056.78
andaman-&-nicobar-islands,2019,4,nicobars,2600,12384161.53
andaman-&-nicobar-islands,2020,1,south andaman,32713,134679396.91
andaman-&-nicobar-islands,2020,1,north and middle andaman,5674,14697371.62
andaman-&-nicobar-islands,2020,1,nicobars,2911,12099543.77
andaman-&-nicobar-islands,2020,2,south andaman,48088,132855778.75
andaman-&-nicobar-islands,2020,2,north and middle andaman,10979,22447714.06
andaman-&-nicobar-islands,2020,2,nicobars,3895,14341508.6
andaman-&-nicobar-islands,2020,3,south andaman,95323,282366109.21
andaman-&-nicobar-islands,2020,3,north and middle andaman,16747,33486883.37
andaman-&-nicobar-islands,2020,3,nicobars,5413,22166453.75
andaman-&-nicobar-islands,2020,4,south andaman,186494,523122462.88
andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,68941322.39
andaman-&-nicobar-islands,2020,4,nicobars,8688,35218871.04
andaman-&-nicobar-islands,2021,1,south andaman,207092,669604045.12
andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,75027255.28
andaman-&-nicobar-islands,2021,1,nicobars,10302,39075266.99
andaman-&-nicobar-islands,2021,2,south andaman,286907,760893020.57
andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,90233388.79
andaman-&-nicobar-islands,2021,2,nicobars,15307,48020606.75
andaman-&-nicobar-islands,2021,3,south andaman,382418,1116789010.65
andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,118254865.83
andaman-&-nicobar-islands,2021,3,nicobars,20754,74980519.33
andaman-&-nicobar-islands,2021,4,south andaman,558571,1694794708.01
andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,156486112.29
andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.03
andaman-&-nicobar-islands,2022,1,south andaman,705512,1872991195.9
andaman-&-nicobar-islands,2022,1,north and middle andaman,60059,161624878.52
andaman-&-nicobar-islands,2022,1,nicobars,29177,94414127.65
andaman-&-nicobar-islands,2022,2,south andaman,954875,2357326563.36
andaman-&-nicobar-islands,2022,2,north and middle andaman,72573,195693167.79
andaman-&-nicobar-islands,2022,2,nicobars,43769,132900618.93
andaman-&-nicobar-islands,2022,3,south andaman,1455255,2967719400.85
andaman-&-nicobar-islands,2022,3,north and middle andaman,79574,211581970.34
andaman-&-nicobar-islands,2022,3,nicobars,49550,131330400.95
andaman-&-nicobar-islands,2022,4,south andaman,1835592,3600887266.1
andaman-&-nicobar-islands,2022,4,north and middle andaman,93297,241431284.36
andaman-&-nicobar-islands,2022,4,nicobars,58646,142355853.97
andaman-&-nicobar-islands,2023,1,south andaman,2030078,3867385426.0
andaman-&-nicobar-islands,2023,1,north and middle andaman,152187,392080332.0
andaman-&-nicobar-islands,2023,1,nicobars,94127,202062829.0
andaman-&-nicobar-islands,2023,2,south andaman,2417058,4297737197.0
andaman-&-nicobar-islands,2023,2,north and middle andaman,181149,462414675.0
andaman-&-nicobar-islands,2023,2,nicobars,109568,230192364.0
andaman-&-nicobar-islands,2023,3,south andaman,2771397,4462201588.0
andaman-&-nicobar-islands,2023,3,north and middle andaman,198547,495623030.0
andaman-&-nicobar-islands,2023,3,nicobars,128432,253772173.0
andaman-&-nicobar-islands,2023,4,south andaman,3311962,5417264997.0
andaman-&-nicobar-islands,2023,4,north and middle andaman,230234,540759631.0
andaman-&-nicobar-islands,2023,4,nicobars,153587,311527871.0
andaman-&-nicobar-islands,2024,1,south andaman,3751724,5952049462.0
andaman-&-nicobar-islands,2024,1,north and middle andaman,266400,601756070.0
andaman-&-nicobar-islands,2024,1,nicobars,166796,305346303.0
andaman-&-nicobar-islands,2024,2,south andaman,4153251,6285248054.0
andaman-&-nicobar-islands,2024,2,north and middle andaman,313301,676844858.0
andaman-&-nicobar-islands,2024,2,nicobars,186672,333687418.0
andaman-&-nicobar-islands,2024,3,south andaman,4704639,6567147442.0
andaman-&-nicobar-islands,2024,3,north and middle andaman,364075,724234808.0
andaman-&-nicobar-islands,2024,3,nicobar,210536,372462759.0
andaman-&-nicobar-islands,2024,4,south andaman,5419850,7760167334.0
andaman-&-nicobar-islands,2024,4,north and middle andaman,411230,759100984.0
andaman-&-nicobar-islands,2024,4,nicobar,232820,401676455.0
andhra-pradesh,2018,1,visakhapatnam,1256469,1749966196.5
andhra-pradesh,2018,1,east godavari,943935,1235785515.6
andhra-pradesh,2018,1,krishna,863935,1284255179.62
andhra-pradesh,2018,1,chittoor,830324,1009621878.09
andhra-pradesh,2018,1,guntur,815932,1108686589.03
andhra-pradesh,2018,1,kurnool,679623,764905298.74
andhra-pradesh,2018,1,anantapur,638664,788830646.03
andhra-pradesh,2018,1,west godavari,577090,853547668.75
andhra-pradesh,2018,1,prakasam,534757,748990775.87
andhra-pradesh,2018,1,spsr nellore,531612,676643237.81
andhra-pradesh,2018,2,visakhapatnam,1641192,2987853607.29
andhra-pradesh,2018,2,krishna,1224987,2448141593.49
andhra-pradesh,2018,2,east godavari,1221677,2168914928.42
